0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:42 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:43 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:43 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:43 -0300] "GET /casadocodigo/resources/css/fontello.woff?3398089 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:43 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:44 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:44 -0300] "GET /casadocodigo/resources/css/fontello.ttf?3398089 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:57:44 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:19 -0300] "GET /casadocodigo/ HTTP/1.1" 200 8997
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:20 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:21 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:21 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:21 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:21 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:21 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:26 -0300] "GET /casadocodigo/produtos/detalhe/4 HTTP/1.1" 200 8955
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:27 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/css/fontello.woff?3398089 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:08:58:28 -0300] "GET /casadocodigo/resources/css/fontello.ttf?3398089 HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/ HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 200 11124
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 200 4358
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:58 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:59 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:59 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:59 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:59 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:47:59 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:48:06 -0300] "GET /casadocodigo/produtos/detalhe/4 HTTP/1.1" 200 9866
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:48:24 -0300] "GET /casadocodigo/login HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:48:24 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:48:24 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Jun/2018:09:48:38 -0300] "POST /casadocodigo/login HTTP/1.1" 302 -
