0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:41:17 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:41:18 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:19 -0300] "GET /estoque/listar HTTP/1.1" 200 4947
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:19 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:19 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:19 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:20 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:57 -0300] "GET /estoque/listar HTTP/1.1" 200 4938
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:57 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:57 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:57 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:44:57 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:47:50 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:47:50 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:47:50 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:47:50 -0300] "GET /estoque/listar HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:47:50 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:50:45 -0300] "GET /estoque/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:50:45 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:50:46 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:50:46 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:50:50 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:02 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:02 -0300] "GET /estoque/ HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:03 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:03 -0300] "GET /estoque/resources/teste/script.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:03 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:18 -0300] "GET /estoque/listar HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:19 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:19 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:19 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:51:19 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:04 -0300] "GET /estoque/listar HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:04 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:04 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:04 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:04 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:21 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:21 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:21 -0300] "GET /estoque/listar HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:21 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:53:21 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:56:07 -0300] "GET /estoque/listar HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:56:07 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:56:07 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:56:07 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:09:56:07 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:10:59 -0300] "GET /estoque/listar HTTP/1.1" 200 5026
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:10:59 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:10:59 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:10:59 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:10:59 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:10:59 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:13:11 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:13:11 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:13:11 -0300] "GET /estoque/listar HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:13:11 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:13:11 -0300] "GET /estoque/resources/teste/money-blur.js HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:13:11 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:15:51 -0300] "GET /estoque/listar HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:15:51 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [23/Jul/2018:10:15:51 -0300] "GET /estoque/resources/teste/jquery.js HTTP/1.1" 200 248235
