0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:51:22 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:51:22 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:53:15 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:53:15 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:53:16 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:54:13 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:54:13 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:54:13 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:54:53 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:54:53 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:54:53 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:57:00 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:57:00 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:11:57:00 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:13 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:14 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:24 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11949
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:24 -0300] "GET /casadocodigo/resources/css;jsessionid=1BB0B4A7E1584CF1518B48169ACF16D0/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:24 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:24 -0300] "GET /casadocodigo/resources/css;jsessionid=1BB0B4A7E1584CF1518B48169ACF16D0/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:25 -0300] "GET /casadocodigo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:27 -0300] "GET /casadocodigo/ HTTP/1.1" 200 22148
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:27 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/guia-do-programador-style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/produtos.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:28 -0300] "GET /casadocodigo/resources/css/book-collection.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:46 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:53 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [17/Apr/2018:12:00:56 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:02 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:03 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:03 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:13 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:14 -0300] "GET /casadocodigo/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:37 -0300] "GET /casadocodigo/produtos/detalhe/30 HTTP/1.1" 200 9954
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:37:58 -0300] "POST /casadocodigo/carrinho/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:00 -0300] "GET /casadocodigo/carrinho HTTP/1.1" 200 9380
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:01 -0300] "GET /excluir.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:14 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:14 -0300] "GET /casadocodigo/resources/css/bootstrap.min.css HTTP/1.1" 500 16384
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:14 -0300] "GET /casadocodigo/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 16384
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:21 -0300] "GET /casadocodigo/produtos/detalhe/3 HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [17/Apr/2018:15:38:33 -0300] "POST /casadocodigo/carrinho/add HTTP/1.1" 302 -
