0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:08:54:14 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:01:50 -0300] "POST /estoque/entrada/gravar?vlEntrada HTTP/1.1" 403 1113
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:01 -0300] "GET /estoque/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:02 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:02 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:02 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:16 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:16 -0300] "GET /estoque/ HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:17 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:17 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:17 -0300] "GET /estoque/resources/teste/script.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:25 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6919
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:26 -0300] "GET /estoque/resources/css/styles.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:26 -0300] "GET /estoque/resources/css/estilo.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:26 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:26 -0300] "GET /estoque/resources/css/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:26 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:26 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:51 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6923
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:51 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:52 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:52 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:52 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:52 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:02:52 -0300] "GET /estoque/resources/css/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:52 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:52 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:52 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:52 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:52 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:03:52 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:10:28 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6867
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:10:28 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:10:28 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:10:28 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:10:28 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:12:10:28 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:10 -0300] "GET /estoque/entrada/listar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:11 -0300] "GET /estoque/login HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:12 -0300] "GET /estoque/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:12 -0300] "GET /estoque/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:23 -0300] "POST /estoque/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:28 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:28 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:28 -0300] "GET /estoque/resources/teste/jquery.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:28 -0300] "GET /estoque/resources/css/bootstrap.css HTTP/1.1" 200 173597
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:41:29 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:42:07 -0300] "GET /estoque/entrada/listar HTTP/1.1" 200 6825
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:42:07 -0300] "GET /estoque/resources/teste/styles.css HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:42:07 -0300] "GET /springmvc/css/pepper-grinder/jquery-ui-1.8.16.custom.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:42:07 -0300] "GET /estoque/resources/teste/estilo.css HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [14/Aug/2018:13:42:08 -0300] "GET /estoque/resources/teste/jquery.maskMoney.js HTTP/1.1" 200 10578
